UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Aldebaran Bucin Alfahri,@alfahri_bucin,2021-05-04T13:35:02.000Z,"FIX INI RICKY KETIDURAN, ELSA KABUR . GAJADI ANU ANU. EH RICKY BESOKNYA BONGKAR KEBUSUKAN ELSA. YUK BISA YUK GINI WKWKW #IkatanCintaEp261",,,1,3
Vnlltea,@vnlttcha,2021-05-04T15:17:10.000Z,"Dipastikan diriku smakin bucin
#3rdTasteOfButter방탄소년단",🍵 👍 👍,,,4
eyyy,@JjkBucin,2021-05-04T13:11:02.000Z,"Kangen Tae up kyk gini
I vote #BTSArmy
 for #BestFanAmy at the 2021 #iHeartAwards",🤧,,,1
Genit,@AnDinattt,2021-05-04T09:16:44.000Z,"pernah ada yg sebucin itu tp aku sia²in.
sekarang malah cari yg bucin yg pada dateng malah kadal",🐊,,,2
ilybudlmb,@sujieeeee,2021-05-04T15:34:22.000Z,ubah emg tmn pubg stelah topang dan panjar pensi karna bucin:(,,,,1
acin | PROFESSOR YANG ㅅㄹㅎ,@kimbokbapjjig,2021-05-04T08:42:01.000Z,sebuah renungan dr aku dan temanku yg bucin ahjuicys krn ada unresolved daddy issues di rl ,🤓,,,3
⌗ jull⁷⁺⁵ `,@ggukthetic,2021-05-04T03:30:40.000Z,"heran, kanjeng mami gua masi bucin bngt sama kembang, kdg gua ga sengaja metik daunnya di marahin njir",🧈,,,1
✿,@ksjcsb__,2021-05-04T09:20:35.000Z,"Membalas 
@ksjcsb__seenjoy itu aku baca cerita nya apalagi part awal-awal. the way yoongi have soft spot for jimin. cuteness ",🥺,1,,1
✿,@ksjcsb__,2021-05-04T09:20:52.000Z,"i bring my favourite word from your story kak 
 yoongi bucin banget ke jimin. jimin nya juga luluh ama yoongi 
 cocok ",🥺 🥺 🥺,1,,1
"Panggil aja, Yola",@bucin_namu,2021-05-04T15:22:00.000Z," GA BISA GUE TUH 
 MELEYOT
#BTS_Butter
#3rdTasteOfButter",🏳 🏳 🏳 🏳 😭 😭 😭 😭 😭,,,
your mineee,@im_mineee,2021-05-04T19:31:44.000Z,bucin nya bermanfaat ngerjain tugas bareng ,🍑 🍑 🥰 💜 💜 💜,1,,2
•°• kinda ia,@moon5icheng,2021-05-04T12:23:42.000Z,gara-gara taeil nih jadi bucin the 1975 ,😭 😍 💗,,,1
MIN! on,@miniminifess,2021-05-04T14:33:58.000Z,"Udah bucin mah diapain aja mau yekan Min!Dari 
☽",💌,,,22
aiya,@baebIue,2021-05-04T17:11:13.000Z,"gini ya jadinya bucin ketemu bucin. ga kuat banget convo ini terlalu lucu 
 orang gila pacaran semua",😭,2,1,
- Bucin Wen junhui Moon Junhwi -,@ameliariz0214,2021-05-04T15:42:11.000Z,"Kak auvi kok bsa bujuk anak ini pose se maniss secute itu sih Ampunnn pusing liatnyaaaaaaa 
Seungcheol tuh tiap hari liat kayak gini tuh nggk pusing gtKutip Tweet
; Auviଓ⁾⁾
@hime1004_
 · 10j
biar tl u pada ga kepanasan liat yg gemes gemes aja udah mendingan
 haaaa gemes bgt",😭 😭 😭 ❤ ❤ ❤ 🤭 🤭 🤭 🤭 🤭 🤩 🤩 🤩,,,
shayla bucin jae,@95WOONSHI,2021-05-04T12:21:23.000Z,"WKWK mungkin krn aku udah kelamaan jomblo, tiba ngepost sg gituan disangka punya crush, padahal mah itu buat jae anjir ",😭,2,,1
tata ♡,@dmine_,2021-05-04T05:31:44.000Z,parah ni orang pelet nya kuat bgt sampe bikin anak orang bucin bgt ke dia.. btw he looks like cuddly ,🥺,,,1
sheva (๑˃̶͈̀Ⱉ˂̶͈́๑),@doyoucas,2021-05-04T15:00:44.000Z,"“apaaih bucin bgt sama cowo korea”

sial, dia gatau gue bucin cowo bandung",,,,
Nut^^|Bucin mewgulf,@bucinmewgulf_mg,2021-05-04T03:51:28.000Z,"HARUS BANGET YA DI GIGIT GITU YA LORD
WOOFWOOFBARKBARK ANJIR",,,,
